제품명(한글),수입일자,제조국,수출국
레몬그라스,2021-02-05,베트남,베트남
냉동 홍고추,2021-02-05,중국,중국
커피원두,2021-02-05,온두라스,온두라스
페루커피원두,2021-02-05,페루,페루
커피원두,2021-02-05,브라질,브라질
콜롬비아  커피원두,2021-02-05,콜롬비아,콜롬비아
바나나,2021-02-05,과테말라,과테말라
아보카도,2021-02-05,멕시코,멕시코
포도,2021-02-05,페루,페루
망고,2021-02-05,페루,페루
신선양파,2021-02-05,중국,중국
파인애플,2021-02-05,필리핀,필리핀
파인애플,2021-02-05,필리핀,필리핀
옥수수,2021-02-05,호주,호주
망고,2021-02-05,페루,페루
커피원두,2021-02-05,탄자니아,탄자니아
콩나물콩,2021-02-05,미국,미국
망고,2021-02-05,태국,태국
신선마늘쫑,2021-02-05,중국,중국
양상추,2021-02-05,대만,대만
아스파라거스 (7KG),2021-02-05,태국,태국
레몬그라스,2021-02-05,태국,태국
망고,2021-02-05,태국,태국
커피생두,2021-02-05,르완다,르완다
커피생두,2021-02-05,에티오피아,에티오피아
커피생두,2021-02-05,브라질,브라질
커피생두,2021-02-05,콜롬비아,콜롬비아
샬롯,2021-02-05,베트남,베트남
체리,2021-02-05,칠레,칠레
결명자,2021-02-05,중국,중국
깐도라지 (2KG),2021-02-05,중국,중국
망고,2021-02-05,페루,페루
커피생두,2021-02-05,브라질,브라질
콜롬비아  커피원두,2021-02-05,콜롬비아,콜롬비아
강낭콩,2021-02-05,중국,중국
커피원두,2021-02-05,에티오피아,에티오피아
알땅콩,2021-02-05,중국,중국
신선당근,2021-02-05,중국,중국
커피 생두,2021-02-05,브라질,브라질
바나나,2021-02-05,필리핀,필리핀
바나나,2021-02-05,필리핀,필리핀
커피 생두,2021-02-05,베트남,베트남
커피생두,2021-02-05,미국,미국
감초,2021-02-05,중국,중국
상심자,2021-02-05,파키스탄,파키스탄
커피원두,2021-02-05,탄자니아,탄자니아
온두라스커피원두,2021-02-05,온두라스,온두라스
냉동대파 50mm,2021-02-05,중국,중국
적강낭콩,2021-02-05,미국,미국
냉동 시금치,2021-02-05,중국,중국
통계피,2021-02-05,베트남,베트남
냉동 연근,2021-02-05,중국,중국
냉동 단호박,2021-02-05,중국,중국
냉동대파,2021-02-05,중국,중국
냉동알밤,2021-02-05,중국,중국
냉동고추,2021-02-05,중국,중국
냉동대파,2021-02-05,중국,중국
냉동 청피망,2021-02-05,중국,중국
냉동단호박,2021-02-05,중국,중국
도토리,2021-02-05,중국,중국
냉동양파,2021-02-05,중국,중국
냉동피망,2021-02-05,중국,중국
냉동 양파,2021-02-05,중국,중국
냉동마늘,2021-02-05,중국,중국
냉동 청양고추,2021-02-05,중국,중국
냉동딸기,2021-02-05,중국,중국
냉동새송이버섯,2021-02-05,중국,중국
냉동 근대,2021-02-05,중국,중국
냉동대파,2021-02-05,중국,중국
냉동아욱,2021-02-05,중국,중국
냉동단호박,2021-02-05,중국,중국
냉동표고버섯,2021-02-05,중국,중국
냉동연근,2021-02-05,중국,중국
냉동 양파,2021-02-05,중국,중국
라지 월넛,2021-02-05,미국,미국
대추야자,2021-02-05,아랍에미리트,아랍에미리트
캐슈넛,2021-02-05,베트남,베트남
냉동 마늘,2021-02-05,중국,중국
망고,2021-02-05,베트남,베트남
대두,2021-02-05,캐나다,캐나다
신선양파,2021-02-05,중국,중국
대두,2021-02-05,미국,미국
해바라기씨,2021-02-05,불가리아,불가리아
바나나,2021-02-05,필리핀,필리핀
신선더덕,2021-02-05,중국,중국
냉동홍고추,2021-02-05,중국,중국
커피원두,2021-02-05,탄자니아,탄자니아
커피원두(생두)  60KG,2021-02-05,에티오피아,일본
커피원두(생두),2021-02-05,브라질,일본
커피원두(생두),2021-02-05,콜롬비아,일본
두리안,2021-02-05,태국,태국
깐도라지,2021-02-05,중국,중국
깐도라지,2021-02-05,중국,중국
깐도라지,2021-02-05,중국,중국
깐도라지,2021-02-05,중국,중국
깐도라지,2021-02-05,중국,중국
표고버섯,2021-02-05,중국,중국
건생강,2021-02-05,중국,중국
활개구리,2021-02-05,중국,중국
레몬그라스,2021-02-05,베트남,베트남
도토리,2021-02-05,중국,중국
표고버섯,2021-02-05,중국,중국
신선양파,2021-02-05,중국,중국
깐도라지 (1kg),2021-02-05,중국,중국
신선 양상추,2021-02-05,대만,대만
양상추,2021-02-05,대만,대만
대두,2021-02-05,러시아,러시아
배암차즈기(곰보배추),2021-02-05,중국,중국
커클랜드 시그니춰 블루베리,2021-02-05,칠레,칠레
냉동부추,2021-02-05,중국,중국
냉동부추,2021-02-05,중국,중국
체리(4.5KG),2021-02-04,칠레,칠레
신선더덕,2021-02-04,중국,중국
블루베리,2021-02-04,칠레,칠레
천궁(30KG),2021-02-04,중국,중국
계피,2021-02-04,베트남,베트남
커피원두,2021-02-04,콜롬비아,콜롬비아
포도,2021-02-04,칠레,칠레
라임,2021-02-04,멕시코,멕시코
"바나나(13KG,2021.01.11)",2021-02-04,필리핀,필리핀
"바나나(13KG,2021.01.18)",2021-02-04,필리핀,필리핀
"파인애플(12KG,2021.01.20)",2021-02-04,필리핀,필리핀
오가피열매,2021-02-04,중국,중국
커피원두(콜롬비아 슈프리모),2021-02-04,콜롬비아,콜롬비아
신선대파,2021-02-04,중국,중국
신선양파,2021-02-04,중국,중국
건조양파,2021-02-04,중국,중국
수수,2021-02-04,미국,미국
바나나,2021-02-04,콜롬비아,콜롬비아
포도,2021-02-04,페루,페루
포도,2021-02-04,페루,페루
맥아,2021-02-04,호주,호주
바나나,2021-02-04,필리핀,필리핀
바닐라빈,2021-02-04,미국,미국
커피생두,2021-02-04,미국,미국
건고추,2021-02-04,중국,중국
건대추,2021-02-04,중국,중국
건대추,2021-02-04,중국,중국
신선더덕,2021-02-04,중국,중국
건대추,2021-02-04,중국,중국
깐더덕,2021-02-04,중국,중국
건대추,2021-02-04,중국,중국
건대추,2021-02-04,중국,중국
커피생두,2021-02-04,브라질,브라질
포도,2021-02-04,페루,페루
바나나,2021-02-04,에콰도르,에콰도르
바나나,2021-02-04,에콰도르,에콰도르
황기,2021-02-04,중국,중국
신선양파,2021-02-04,중국,중국
바나나,2021-02-04,에콰도르,에콰도르
바나나,2021-02-04,에콰도르,에콰도르
냉동피망,2021-02-04,중국,중국
건아보카도(40g),2021-02-04,멕시코,멕시코
옥수수(씨앗),2021-02-04,인도,인도
옥수수(씨앗),2021-02-04,인도,인도
바나나,2021-02-04,에콰도르,에콰도르
바나나,2021-02-04,에콰도르,에콰도르
아보카도,2021-02-04,멕시코,멕시코
아보카도,2021-02-04,멕시코,멕시코
포도,2021-02-04,페루,페루
바나나,2021-02-04,필리핀,필리핀
신선우엉,2021-02-04,중국,중국
바나나,2021-02-04,필리핀,필리핀
바나나,2021-02-04,필리핀,필리핀
바나나,2021-02-04,필리핀,필리핀
바나나,2021-02-04,필리핀,필리핀
신선양파,2021-02-04,중국,중국
바나나,2021-02-04,필리핀,필리핀
바나나,2021-02-04,필리핀,필리핀
바나나,2021-02-04,필리핀,필리핀
망고,2021-02-04,태국,태국
망고,2021-02-04,태국,태국
"망고(열매,신선)",2021-02-04,태국,태국
망고,2021-02-04,태국,태국
망고,2021-02-04,태국,태국
망고,2021-02-04,태국,태국
신선양파,2021-02-04,중국,중국
아보카도,2021-02-04,멕시코,멕시코
망고,2021-02-04,페루,페루
포도,2021-02-04,칠레,칠레
망고,2021-02-04,태국,태국
무말랭이,2021-02-04,중국,중국
무말랭이,2021-02-04,중국,중국
포도,2021-02-04,페루,페루
신선양파,2021-02-04,중국,중국
아보카도,2021-02-04,멕시코,멕시코
아보카도,2021-02-04,멕시코,멕시코
포도,2021-02-04,칠레,칠레
망고,2021-02-04,베트남,베트남
밤,2021-02-04,중국,중국
깐양파,2021-02-04,중국,중국
"바나나(13KG,2021.01.11)",2021-02-04,필리핀,필리핀
옥수수,2021-02-04,브라질,브라질
옥수수,2021-02-04,브라질,브라질
"바나나(13KG,2021.01.11)",2021-02-04,필리핀,필리핀
"바나나(13KG,2021.01.18)",2021-02-04,필리핀,필리핀
"바나나(13KG,2021.01.18)",2021-02-04,필리핀,필리핀
신선양파,2021-02-04,중국,중국
신선우엉,2021-02-04,중국,중국
우엉,2021-02-04,중국,중국
"포도(열매,신선)",2021-02-04,페루,페루
리마콩,2021-02-04,미얀마,미얀마
레몬그라스,2021-02-04,베트남,베트남
베트남 로부스타 커피,2021-02-04,베트남,베트남
자몽,2021-02-04,미국,미국
망고,2021-02-04,태국,태국
망고,2021-02-04,태국,태국
페루커피원두,2021-02-04,페루,페루
아스파라거스,2021-02-04,멕시코,미국
샬롯,2021-02-04,태국,태국
갈랑갈,2021-02-04,태국,태국
송로버섯,2021-02-04,이탈리아,이탈리아
포도,2021-02-04,칠레,칠레
포도,2021-02-04,페루,페루
포도,2021-02-04,페루,페루
포도,2021-02-04,페루,페루
포도,2021-02-04,페루,페루
바나나,2021-02-04,콜롬비아,콜롬비아
체리,2021-02-04,칠레,칠레
깐도라지,2021-02-04,중국,중국
표고버섯,2021-02-04,중국,중국
무말랭이,2021-02-04,중국,중국
신선생강,2021-02-04,중국,중국
신선당근,2021-02-04,중국,중국
신선양파,2021-02-04,중국,중국
건대추,2021-02-04,중국,중국
신선양파,2021-02-04,중국,중국
서리태,2021-02-04,중국,중국
커피 생두,2021-02-04,파나마,파나마
냉동고추,2021-02-04,중국,중국
"파인애플(12KG,2021.01.20)",2021-02-04,필리핀,필리핀
"파인애플(12KG,2021.01.20)",2021-02-04,필리핀,필리핀
"바나나(13KG,2021.01.18)",2021-02-04,필리핀,필리핀
"용과(RED, 3KG)",2021-02-04,베트남,베트남
"용과(WHITE, 5KG)",2021-02-04,베트남,베트남
건 목이버섯,2021-02-04,중국,중국
밤,2021-02-04,중국,중국
커피 생두,2021-02-04,브라질,브라질
고추씨,2021-02-04,중국,중국
망고,2021-02-04,태국,태국
망고,2021-02-04,태국,태국
망고,2021-02-04,태국,태국
망고,2021-02-04,태국,태국
망고,2021-02-04,태국,태국
오렌지,2021-02-04,미국,미국
건동충하초밀리타리스,2021-02-04,중국,중국
신선당근,2021-02-04,중국,중국
냉동다이스양파,2021-02-04,중국,중국
"파인애플(12KG,2021.01.20)",2021-02-04,필리핀,필리핀
블루베리(312g),2021-02-04,칠레,칠레
포도,2021-02-04,페루,페루
포도,2021-02-04,페루,페루
포도,2021-02-04,페루,페루
포도,2021-02-04,페루,페루
하이비 아스파라거스 (5KG),2021-02-04,태국,태국
바나나 꽃,2021-02-04,태국,태국
아스파라거스,2021-02-04,멕시코,미국
핑거루트,2021-02-04,태국,태국
샬롯,2021-02-04,태국,태국
갈랑갈,2021-02-04,태국,태국
아스파라거스,2021-02-04,태국,태국
"두리안(열매,신선)",2021-02-04,태국,태국
아스파라거스,2021-02-04,태국,태국
두리안,2021-02-04,태국,태국
쪽파,2021-02-04,태국,태국
건송로버섯,2021-02-04,중국,중국
신선송로버섯,2021-02-04,중국,중국
두리안,2021-02-04,태국,태국
신선양파,2021-02-04,중국,중국
신선양파,2021-02-04,중국,중국
냉동홍고추,2021-02-04,중국,중국
냉동홍고추,2021-02-04,중국,중국
커피원두,2021-02-04,콜롬비아,콜롬비아
커피원두,2021-02-04,케냐,케냐
커피원두,2021-02-04,케냐,케냐
커피 생두,2021-02-04,브라질,브라질
커피 생두,2021-02-04,브라질,브라질
반건조무화과,2021-02-04,터키,터키
체리,2021-02-04,칠레,칠레
체리,2021-02-04,칠레,칠레
아보카도,2021-02-04,멕시코,멕시코
바나나,2021-02-04,베트남,베트남
바나나,2021-02-04,콜롬비아,콜롬비아
알땅콩(25kg),2021-02-04,중국,중국
신선 표고버섯,2021-02-04,중국,중국
깐도라지,2021-02-04,중국,중국
녹두,2021-02-04,미얀마,미얀마
신선표고버섯,2021-02-04,중국,중국
파인애플 (12KG),2021-02-04,필리핀,필리핀
육두구/36KG,2021-02-04,인도네시아,인도네시아
냉동홍고추,2021-02-04,중국,중국
냉동홍고추,2021-02-04,중국,중국
냉동홍고추,2021-02-04,중국,중국
냉동고추,2021-02-04,중국,중국
유기농바나나,2021-02-04,페루,페루
유기농바나나,2021-02-04,페루,페루
아보카도,2021-02-04,멕시코,멕시코
신선도라지,2021-02-04,중국,중국
건조 무,2021-02-04,중국,중국
신선우엉,2021-02-04,중국,중국
신선우엉,2021-02-04,중국,중국
망고,2021-02-04,페루,페루
콩나물콩,2021-02-04,중국,중국
오렌지,2021-02-04,스페인,스페인
강낭콩,2021-02-04,미국,캐나다
월계수잎,2021-02-04,터키,터키
콩나물콩,2021-02-04,미국,미국
커피 생두,2021-02-04,베트남,베트남
바나나,2021-02-04,에콰도르,에콰도르
망고,2021-02-04,태국,태국
망고,2021-02-04,태국,태국
포도,2021-02-04,칠레,칠레
신선송로버섯,2021-02-04,프랑스,프랑스
블루베리,2021-02-04,칠레,칠레
냉동홍고추,2021-02-04,중국,중국
옥수수,2021-02-04,미국,미국
양파,2021-02-04,일본,일본
블루베리 125G,2021-02-04,칠레,칠레
호라산밀,2021-02-04,터키,터키
냉동홍고추,2021-02-04,중국,중국
참깨,2021-02-04,중국,중국
양파,2021-02-04,일본,일본
양파,2021-02-04,일본,일본
블루베리,2021-02-04,칠레,칠레
냉동홍고추,2021-02-04,중국,중국
냉동홍고추,2021-02-04,중국,중국
냉동홍고추,2021-02-04,중국,중국
냉동홍고추,2021-02-04,중국,중국
생알땅콩,2021-02-04,중국,중국
냉동 홍고추,2021-02-04,중국,중국
백목이 버섯,2021-02-04,중국,중국
망고,2021-02-04,태국,태국
망고,2021-02-04,페루,페루
망고,2021-02-04,태국,태국
망고,2021-02-04,페루,페루
망고,2021-02-04,페루,페루
망고,2021-02-04,페루,페루
망고,2021-02-04,페루,페루
네이비 빈,2021-02-04,미국,캐나다
커피원두,2021-02-04,온두라스,온두라스
망고,2021-02-04,페루,페루
커피원두,2021-02-04,브라질,브라질
신선표고,2021-02-04,중국,중국
신선깐도라지,2021-02-04,중국,중국
깐도라지,2021-02-04,중국,중국
깐도라지,2021-02-04,중국,중국
건양파,2021-02-04,중국,중국
냉동양배추,2021-02-04,중국,중국
냉동당근,2021-02-04,중국,중국
냉동대파,2021-02-04,중국,중국
건고추,2021-02-04,중국,중국
냉동마늘,2021-02-04,중국,중국
냉동연근,2021-02-04,중국,중국
냉동호박,2021-02-04,중국,중국
냉동토란줄기,2021-02-04,베트남,베트남
냉동양파,2021-02-04,중국,중국
냉동연근,2021-02-04,중국,중국
더덕,2021-02-04,중국,중국
계피/15KG,2021-02-04,베트남,베트남
냉동부추,2021-02-04,중국,중국
냉동 청피망 10MM,2021-02-04,중국,중국
냉동딸기,2021-02-04,중국,중국
냉동 양파 10MM,2021-02-04,중국,중국
냉동 새송이버섯 10MM,2021-02-04,중국,중국
냉동대파,2021-02-04,중국,중국
냉동양파,2021-02-04,중국,중국
냉동 아욱,2021-02-04,중국,중국
냉동단호박,2021-02-04,베트남,베트남
냉동 시금치,2021-02-04,중국,중국
냉동당근,2021-02-04,중국,중국
냉동마늘,2021-02-04,중국,중국
해바라기씨,2021-02-04,불가리아,불가리아
냉동 대파,2021-02-04,중국,중국
냉동연근,2021-02-04,베트남,베트남
아몬드,2021-02-04,미국,미국
호두(탈각),2021-02-04,미국,미국
아몬드,2021-02-04,미국,미국
건조무화과(2kgx6봉),2021-02-04,터키,터키
냉동카사바,2021-02-04,베트남,베트남
캐슈넛,2021-02-04,베트남,베트남
냉동청경채,2021-02-04,중국,중국
냉동 얼갈이,2021-02-04,중국,중국
맥아,2021-02-04,벨기에,벨기에
맥아,2021-02-04,벨기에,벨기에
호두,2021-02-04,미국,미국
냉동부추,2021-02-04,중국,중국
건파,2021-02-04,중국,중국
냉동완두콩,2021-02-04,중국,중국
신선양파,2021-02-04,중국,중국
아스파라거스,2021-02-04,태국,태국
아스파라거스,2021-02-04,태국,태국
세이지,2021-02-04,이스라엘,이스라엘
망고,2021-02-04,베트남,베트남
건여주,2021-02-04,베트남,베트남
신선표고버섯,2021-02-04,중국,중국
깐도라지,2021-02-04,중국,중국
신선 표고버섯,2021-02-04,중국,중국
망고,2021-02-04,페루,페루
커피생두,2021-02-04,과테말라,과테말라
양배추,2021-02-04,중국,중국
냉동 깐밤,2021-02-04,중국,중국
신선파파야,2021-02-04,필리핀,필리핀
콩나물,2021-02-04,중국,중국
절계피,2021-02-04,베트남,베트남
검은깨,2021-02-04,중국,중국
신선도라지,2021-02-04,중국,중국
신선당근,2021-02-04,중국,중국
리마콩,2021-02-04,미얀마,미얀마
리마콩,2021-02-04,미얀마,미얀마
건고사리,2021-02-04,중국,중국
신선 표고버섯,2021-02-04,중국,중국
커피원두,2021-02-03,브라질,브라질
"망고(열매,신선)",2021-02-03,태국,태국
망고,2021-02-03,태국,태국
망고,2021-02-03,태국,태국
망고,2021-02-03,태국,태국
산양삼,2021-02-03,중국,중국
신선밤,2021-02-03,중국,중국
망고,2021-02-03,태국,태국
우엉,2021-02-03,중국,중국
망고,2021-02-03,페루,페루
망고,2021-02-03,태국,태국
귀리,2021-02-03,캐나다,캐나다
깐우엉,2021-02-03,중국,중국
망고,2021-02-03,태국,태국
깐잣,2021-02-03,중국,중국
망고,2021-02-03,태국,태국
커피원두,2021-02-03,브라질,브라질
신선양파,2021-02-03,중국,중국
우엉,2021-02-03,중국,중국
포도,2021-02-03,페루,페루
망고,2021-02-03,페루,페루
후추,2021-02-03,베트남,베트남
포도,2021-02-03,페루,페루
포도,2021-02-03,페루,페루
깐우엉,2021-02-03,중국,중국
레몬,2021-02-03,미국,미국
맥주보리,2021-02-03,호주,호주
신선깐마늘,2021-02-03,중국,중국
녹두,2021-02-03,중국,중국
깐잣,2021-02-03,중국,중국
신선대파,2021-02-03,중국,중국
대파,2021-02-03,중국,중국
깐잣,2021-02-03,중국,중국
깐잣,2021-02-03,중국,중국
깐잣,2021-02-03,중국,중국
양상추,2021-02-03,대만,대만
양상추,2021-02-03,대만,대만
깐잣,2021-02-03,중국,중국
포도,2021-02-03,페루,페루
양상추,2021-02-03,중국,중국
강낭콩,2021-02-03,중국,중국
포도,2021-02-03,페루,페루
깐잣,2021-02-03,중국,중국
깐잣,2021-02-03,중국,중국
완두콩,2021-02-03,미국,미국
완두콩,2021-02-03,미국,미국
신선우엉,2021-02-03,중국,중국
커피생두,2021-02-03,브라질,브라질
신선우엉,2021-02-03,중국,중국
신선우엉,2021-02-03,중국,중국
선선깐양파,2021-02-03,중국,중국
신선마늘쫑,2021-02-03,중국,중국
브로콜리,2021-02-03,중국,중국
신선브로콜리,2021-02-03,중국,중국
신선브로콜리,2021-02-03,중국,중국
"황기(뿌리,건조)",2021-02-03,중국,중국
"바나나(13KG,2021.01.13)",2021-02-03,베트남,베트남
커피생두,2021-02-03,과테말라,과테말라
레몬,2021-02-03,미국,미국
옥수수,2021-02-03,호주,호주
레몬,2021-02-03,미국,미국
포도,2021-02-03,페루,페루
망고,2021-02-03,페루,페루
신선당근,2021-02-03,중국,중국
신선당근,2021-02-03,중국,중국
신선당근,2021-02-03,중국,중국
신선당근,2021-02-03,중국,중국
신선당근,2021-02-03,중국,중국
신선양배추,2021-02-03,중국,중국
신선깐양파,2021-02-03,중국,중국
망고,2021-02-03,베트남,베트남
밤,2021-02-03,중국,중국
냉동대파,2021-02-03,중국,중국
신선생강,2021-02-03,중국,중국
유백피/18KG,2021-02-03,중국,중국
신선무우,2021-02-03,중국,중국
마늘쫑(8KG),2021-02-03,중국,중국
신선 마늘종,2021-02-03,중국,중국
마늘쫑,2021-02-03,중국,중국
망고,2021-02-03,페루,페루
포도,2021-02-03,페루,페루
망고,2021-02-03,페루,페루
망고,2021-02-03,페루,페루
망고,2021-02-03,페루,페루
망고,2021-02-03,페루,페루
망고,2021-02-03,페루,페루
신선양파,2021-02-03,중국,중국
마늘쫑,2021-02-03,중국,중국
포도,2021-02-03,페루,페루
포도,2021-02-03,페루,페루
양파,2021-02-03,중국,중국
신선양파,2021-02-03,중국,중국
신선양파,2021-02-03,중국,중국
신선양파,2021-02-03,중국,중국
신선양파,2021-02-03,중국,중국
바나나,2021-02-03,필리핀,필리핀
바나나,2021-02-03,필리핀,필리핀
신선밤,2021-02-03,중국,중국
"호박씨(씨앗,건조)",2021-02-03,중국,중국
해바라기씨,2021-02-03,중국,중국
신선우엉,2021-02-03,중국,중국
애플망고,2021-02-03,페루,페루
포도,2021-02-03,페루,페루
아보카도,2021-02-03,멕시코,멕시코
망고,2021-02-03,페루,페루
신선양파,2021-02-03,중국,중국
아스파라거스,2021-02-03,페루,페루
샬롯,2021-02-03,태국,태국
갈랑갈,2021-02-03,태국,태국
망고,2021-02-03,페루,페루
바나나꽃,2021-02-03,태국,태국
송로버섯,2021-02-03,이탈리아,이탈리아
망고,2021-02-03,페루,페루
바나나 꽃,2021-02-03,태국,태국
신선 갈랑갈,2021-02-03,태국,태국
커피생두,2021-02-03,브라질,브라질
커피생두,2021-02-03,브라질,브라질
커피생두,2021-02-03,과테말라,과테말라
커피생두,2021-02-03,콜롬비아,콜롬비아
망고,2021-02-03,페루,페루
바나나,2021-02-03,인도네시아,인도네시아
피칸,2021-02-03,미국,미국
냉동대파,2021-02-03,중국,중국
냉동부추,2021-02-03,중국,중국
망고,2021-02-03,페루,페루
포도,2021-02-03,페루,페루
포도,2021-02-03,페루,페루
망고,2021-02-03,페루,페루
대두,2021-02-03,미국,미국
커피원두,2021-02-03,베트남,베트남
커피생두,2021-02-03,과테말라,과테말라
콩나물콩,2021-02-03,미국,미국
냉동당근,2021-02-03,중국,중국
코라산통밀,2021-02-03,캐나다,캐나다
냉동홍고추,2021-02-03,중국,중국
망고,2021-02-03,태국,태국
참깨,2021-02-03,중국,중국
망고,2021-02-03,태국,태국
커피원두,2021-02-03,과테말라,과테말라
망고,2021-02-03,태국,태국
커피생두,2021-02-03,브라질,브라질
망고,2021-02-03,태국,태국
완두콩,2021-02-03,미국,미국
아몬드,2021-02-03,미국,미국
알땅콩,2021-02-03,중국,중국
아스파라거스(6KG),2021-02-03,태국,태국
아스파라거스(6KG),2021-02-03,태국,태국
바실,2021-02-03,태국,태국
송로버섯,2021-02-03,이탈리아,이탈리아
아스파라거스,2021-02-03,태국,태국
아스파라거스,2021-02-03,태국,태국
레몬그라스,2021-02-03,태국,태국
갈랑가,2021-02-03,태국,태국
샬롯,2021-02-03,태국,태국
바나나 꽃,2021-02-03,태국,태국
신선송로버섯,2021-02-03,이탈리아,이탈리아
핑거루트,2021-02-03,태국,태국
핑거루트,2021-02-03,태국,태국
샬롯,2021-02-03,태국,태국
갈랑갈,2021-02-03,태국,태국
신선송로버섯,2021-02-03,프랑스,프랑스
아몬드,2021-02-03,미국,미국
표고버섯,2021-02-03,중국,중국
아몬드,2021-02-03,미국,미국
호두,2021-02-03,미국,미국
신선핑거루트,2021-02-03,태국,태국
망고,2021-02-03,태국,태국
망고,2021-02-03,태국,태국
망고,2021-02-03,태국,태국
망고,2021-02-03,태국,태국
망고,2021-02-03,태국,태국
망고,2021-02-03,태국,태국
파인애플,2021-02-03,필리핀,필리핀
