접수번호,브랜드,수리내역,담당자
370,애플,"카메라,후면교체",그린
372,애플,"충전연결잭,지문센서",레드
374,LG,배터리,골드
375,애플,후면교체,실버
376,삼성,"버튼,액정",그린
378,LG,"버튼,배터리",그린
382,애플,"마이크,후면교체",블루
383,애플,배터리,골드
385,삼성,카메라,그린
386,LG,충전연결잭,레드
387,LG,카메라,그린
388,LG,"폰케이스구매,배터리",실버
390,애플,"폰케이스구매,후면교체",실버
392,삼성,폰케이스구매,실버
393,애플,"안테나,배터리",골드
395,삼성,폰케이스구매,실버
396,LG,마이크,블루
399,애플,버튼,그린
400,애플,후면교체,실버
401,LG,"마이크,버튼",블루
402,LG,배터리,골드
404,삼성,카메라,그린
405,삼성,폰케이스구매,실버
406,LG,버튼,그린
407,LG,후면교체,실버
408,구글,"지문센서,마이크",블루
409,구글,배터리,골드
411,구글,스피커,블루
412,구글,"충전연결잭,마이크",레드
414,삼성,배터리,골드
415,애플,마이크,블루
416,삼성,후면교체,실버
417,애플,지문센서,옐로
418,삼성,폰케이스구매,실버
421,LG,안테나,골드
422,삼성,"지문센서,액정",옐로
424,애플,배터리,골드
425,LG,스피커,블루
426,삼성,충전연결잭,레드
427,LG,카메라,그린
428,애플,카메라,그린
429,애플,버튼,그린
430,샤오미,마이크,블루
431,삼성,"마이크,액정",블루
435,샤오미,조도센서,옐로
436,애플,액정,레드
437,애플,"지문센서,후면교체",옐로
439,삼성,"액정,배터리",골드
441,삼성,마이크,블루
442,구글,"지문센서,마이크",블루
443,구글,배터리,골드
445,삼성,"배터리,지문센서",옐로
447,LG,후면교체,실버
448,삼성,폰케이스구매,실버
449,애플,충전연결잭,레드
450,삼성,안테나,골드
451,삼성,폰케이스구매,실버
452,삼성,"버튼,액정",그린
454,LG,폰케이스구매,실버
455,삼성,"마이크,액정",블루
457,애플,"마이크,지문센서",블루
459,삼성,마이크,블루
460,애플,"카메라,후면교체",그린
462,삼성,액정,레드
463,애플,"지문센서,배터리",옐로
464,애플,배터리,골드
466,삼성,"안테나,액정",골드
468,삼성,"조도센서,액정",옐로
470,애플,버튼,그린
471,애플,"충전연결잭,후면교체",레드
473,애플,"버튼,후면교체",그린
475,애플,지문센서,옐로
476,LG,"지문센서,버튼",옐로
477,LG,지문센서,옐로
479,샤오미,충전연결잭,레드
480,삼성,액정,레드
481,삼성,"배터리,액정",골드
483,LG,"안테나,버튼",골드
485,삼성,마이크,블루
486,삼성,조도센서,옐로
487,삼성,배터리,골드
488,LG,마이크,블루
489,LG,안테나,골드
490,애플,"폰케이스구매,배터리",실버
492,샤오미,폰케이스구매,실버
493,삼성,버튼,그린
494,구글,후면교체,실버
495,샤오미,마이크,블루
496,삼성,액정,레드
497,삼성,"버튼,액정",그린
501,애플,"액정,후면교체",실버
503,애플,배터리,골드
504,애플,후면교체,실버
505,삼성,액정,레드
506,샤오미,"폰케이스구매,조도센서",실버
508,샤오미,"안테나,조도센서",골드
509,샤오미,배터리,골드
511,애플,스피커,블루
512,애플,마이크,블루
513,LG,"버튼,배터리",그린
515,샤오미,"카메라,배터리",그린
517,삼성,"폰케이스구매,배터리",실버
519,구글,폰케이스구매,실버
520,샤오미,"스피커,배터리",블루
524,삼성,"지문센서,액정",옐로
525,삼성,지문센서,옐로
527,삼성,카메라,그린
528,LG,지문센서,옐로
531,삼성,카메라,그린
532,애플,충전연결잭,레드
533,삼성,안테나,골드
534,삼성,"조도센서,지문센서",옐로
536,구글,후면교체,실버
537,애플,카메라,그린
538,구글,배터리,골드
539,삼성,배터리,골드
540,샤오미,"지문센서,조도센서",옐로
542,애플,버튼,그린
543,애플,버튼,그린
544,삼성,안테나,골드
545,LG,버튼,그린
546,LG,폰케이스구매,실버
547,삼성,안테나,골드
548,애플,"스피커,후면교체",블루
550,애플,"스피커,후면교체",블루
551,애플,지문센서,옐로
553,샤오미,스피커,블루
554,삼성,"폰케이스구매,액정",실버
556,삼성,버튼,그린
557,샤오미,"스피커,지문센서",블루
559,삼성,충전연결잭,레드
560,애플,버튼,그린
561,애플,버튼,그린
562,삼성,"버튼,액정",그린
566,애플,"배터리,지문센서",옐로
568,샤오미,액정,레드
569,삼성,폰케이스구매,실버
570,삼성,"지문센서,액정",옐로
572,LG,"지문센서,배터리",옐로
574,삼성,조도센서,옐로
575,구글,배터리,골드
576,삼성,"지문센서,배터리",옐로
578,삼성,"스피커,액정",블루
579,삼성,배터리,골드
580,삼성,액정,레드
582,애플,"카메라,배터리",그린
583,애플,지문센서,옐로
585,애플,액정,레드
586,삼성,스피커,블루
587,삼성,"후면교체,지문센서",옐로
588,삼성,카메라,그린
590,삼성,후면교체,실버
591,삼성,버튼,그린
592,LG,액정,레드
593,삼성,"지문센서,액정",옐로
595,애플,"카메라,후면교체",그린
597,애플,"스피커,배터리",블루
598,애플,지문센서,옐로
600,애플,"폰케이스구매,배터리",실버
602,샤오미,"마이크,조도센서",블루
604,애플,마이크,블루
605,삼성,지문센서,옐로
606,삼성,"후면교체,액정",실버
608,삼성,스피커,블루
609,샤오미,배터리,골드
610,LG,"지문센서,버튼",옐로
611,LG,배터리,골드
613,LG,액정,레드
614,구글,"카메라,배터리",그린
616,삼성,액정,레드
617,샤오미,"안테나,배터리",골드
618,샤오미,스피커,블루
620,애플,지문센서,옐로
621,애플,"스피커,후면교체",블루
622,애플,지문센서,옐로
624,샤오미,폰케이스구매,실버
627,삼성,충전연결잭,레드
628,LG,후면교체,실버
629,삼성,"배터리,액정",골드
630,삼성,지문센서,옐로
632,삼성,"버튼,배터리",그린
634,삼성,"버튼,액정",그린
636,애플,"스피커,후면교체",블루
638,구글,조도센서,옐로
639,LG,"폰케이스구매,버튼",실버
641,애플,"액정,후면교체",실버
642,애플,지문센서,옐로
644,구글,"카메라,마이크",그린
645,구글,배터리,골드
647,애플,"지문센서,배터리",옐로
651,삼성,폰케이스구매,실버
652,LG,후면교체,실버
653,삼성,카메라,그린
654,삼성,안테나,골드
655,삼성,"충전연결잭,액정",레드
657,삼성,"충전연결잭,배터리",레드
659,삼성,"액정,배터리",골드
661,LG,지문센서,옐로
662,애플,"액정,후면교체",실버
664,삼성,배터리,골드
665,LG,후면교체,실버
666,구글,"충전연결잭,배터리",레드
667,구글,카메라,그린
669,삼성,"지문센서,액정",옐로
670,삼성,배터리,골드
672,삼성,버튼,그린
673,삼성,후면교체,실버
674,삼성,지문센서,옐로
675,삼성,"충전연결잭,배터리",레드
677,LG,액정,레드
678,샤오미,버튼,그린
679,삼성,"지문센서,액정",옐로
681,삼성,마이크,블루
684,애플,"지문센서,후면교체",옐로
686,삼성,액정,레드
687,삼성,"배터리,액정",골드
689,애플,"액정,후면교체",실버
691,LG,"조도센서,버튼",옐로
693,LG,"지문센서,버튼",옐로
695,삼성,"충전연결잭,액정",레드
697,LG,안테나,골드
698,LG,"스피커,버튼",블루
700,삼성,"후면교체,액정",실버
702,삼성,안테나,골드
703,애플,스피커,블루
704,애플,"카메라,후면교체",그린
705,애플,배터리,골드
707,LG,후면교체,실버
708,삼성,액정,레드
709,애플,"버튼,후면교체",그린
711,샤오미,지문센서,옐로
712,애플,"배터리,후면교체",실버
714,구글,"스피커,마이크",블루
715,구글,배터리,골드
717,샤오미,후면교체,실버
718,애플,카메라,그린
719,애플,"배터리,후면교체",실버
721,삼성,버튼,그린
722,LG,배터리,골드
723,LG,카메라,그린
724,LG,안테나,골드
725,LG,마이크,블루
726,LG,"배터리,버튼",그린
727,LG,배터리,골드
728,LG,액정,레드
730,애플,"액정,지문센서",옐로
732,샤오미,배터리,골드
733,구글,"후면교체,마이크",블루
735,애플,"폰케이스구매,후면교체",실버
736,애플,배터리,골드
737,애플,지문센서,옐로
739,샤오미,안테나,골드
740,삼성,"폰케이스구매,배터리",실버
741,삼성,지문센서,옐로
743,샤오미,"폰케이스구매,조도센서",실버
745,애플,"버튼,후면교체",그린
747,애플,"카메라,배터리",그린
749,삼성,"액정,배터리",골드
751,애플,충전연결잭,레드
752,LG,"후면교체,버튼",그린
753,LG,지문센서,옐로
755,LG,배터리,골드
758,애플,"충전연결잭,지문센서",레드
760,샤오미,"마이크,조도센서",블루
761,샤오미,배터리,골드
763,LG,"충전연결잭,버튼",레드
765,삼성,폰케이스구매,실버
766,삼성,"액정,배터리",골드
768,삼성,배터리,골드
769,구글,폰케이스구매,실버
770,애플,버튼,그린
771,애플,"카메라,후면교체",그린
773,삼성,액정,레드
774,삼성,카메라,그린
775,구글,카메라,그린
776,삼성,배터리,골드
777,삼성,"스피커,배터리",블루
779,애플,"액정,후면교체",실버
781,LG,후면교체,실버
782,애플,충전연결잭,레드
783,삼성,"액정,지문센서",옐로
785,애플,버튼,그린
786,애플,조도센서,옐로
787,애플,"스피커,후면교체",블루
789,삼성,마이크,블루
790,구글,"폰케이스구매,마이크",실버
792,애플,"후면교체,배터리",실버
794,애플,스피커,블루
795,애플,지문센서,옐로
796,삼성,액정,레드
797,삼성,"지문센서,액정",옐로
799,삼성,안테나,골드
800,LG,충전연결잭,레드
801,LG,액정,레드
802,LG,"조도센서,버튼",옐로
806,삼성,"지문센서,액정",옐로
807,삼성,배터리,골드
809,LG,후면교체,실버
810,애플,지문센서,옐로
811,LG,"액정,버튼",그린
813,삼성,"카메라,액정",그린
817,삼성,지문센서,옐로
818,애플,"지문센서,후면교체",옐로
819,애플,지문센서,옐로
821,구글,"스피커,마이크",블루
822,구글,배터리,골드
824,애플,"안테나,후면교체",골드
826,LG,"카메라,버튼",그린
827,LG,버튼,그린
829,구글,후면교체,실버
830,삼성,마이크,블루
831,샤오미,지문센서,옐로
832,구글,"카메라,지문센서",그린
836,삼성,"충전연결잭,액정",레드
838,LG,스피커,블루
839,LG,"지문센서,버튼",옐로
841,애플,버튼,그린
842,삼성,"카메라,액정",그린
843,삼성,지문센서,옐로
845,삼성,마이크,블루
846,삼성,후면교체,실버
847,삼성,충전연결잭,레드
848,샤오미,"액정,배터리",골드
850,애플,배터리,골드
851,샤오미,"후면교체,조도센서",옐로
852,샤오미,배터리,골드
854,샤오미,후면교체,실버
855,LG,카메라,그린
856,애플,안테나,골드
857,LG,배터리,골드
858,애플,"충전연결잭,후면교체",레드
860,샤오미,조도센서,옐로
861,삼성,지문센서,옐로
862,삼성,"충전연결잭,배터리",레드
864,삼성,"버튼,액정",그린
865,삼성,지문센서,옐로
867,샤오미,액정,레드
868,삼성,충전연결잭,레드
869,삼성,"마이크,배터리",블루
871,삼성,"액정,배터리",골드
873,구글,지문센서,옐로
874,LG,"마이크,지문센서",블루
876,애플,충전연결잭,레드
877,구글,안테나,골드
878,애플,"액정,지문센서",옐로
880,삼성,스피커,블루
881,애플,안테나,골드
882,애플,조도센서,옐로
883,LG,지문센서,옐로
884,LG,카메라,그린
885,삼성,충전연결잭,레드
886,삼성,배터리,골드
887,삼성,배터리,골드
888,LG,후면교체,실버
891,샤오미,버튼,그린
892,애플,"카메라,배터리",그린
894,애플,"안테나,배터리",골드
896,샤오미,"폰케이스구매,조도센서",실버
897,샤오미,지문센서,옐로
899,구글,"카메라,배터리",그린
901,애플,폰케이스구매,실버
902,삼성,카메라,그린
903,삼성,"지문센서,액정",옐로
904,삼성,배터리,골드
905,삼성,지문센서,옐로
907,애플,"마이크,후면교체",블루
909,샤오미,"카메라,조도센서",그린
913,LG,"버튼,배터리",그린
915,애플,폰케이스구매,실버
916,LG,충전연결잭,레드
917,삼성,"후면교체,액정",실버
919,삼성,"지문센서,배터리",옐로
921,애플,"배터리,후면교체",실버
922,애플,지문센서,옐로
924,애플,충전연결잭,레드
925,애플,배터리,골드
926,LG,폰케이스구매,실버
927,LG,버튼,그린
928,LG,배터리,골드
929,애플,"카메라,후면교체",그린
931,샤오미,"액정,배터리",골드
933,애플,"배터리,후면교체",실버
934,애플,배터리,골드
936,애플,버튼,그린
937,LG,"충전연결잭,버튼",레드
939,애플,카메라,그린
940,삼성,액정,레드
941,애플,"후면교체,배터리",실버
942,애플,지문센서,옐로
944,LG,"액정,버튼",그린
945,LG,배터리,골드
947,삼성,액정,레드
948,애플,조도센서,옐로
949,애플,안테나,골드
950,애플,"폰케이스구매,후면교체",실버
951,애플,지문센서,옐로
953,애플,충전연결잭,레드
954,LG,"액정,버튼",그린
955,LG,배터리,골드
957,샤오미,스피커,블루
958,애플,"지문센서,후면교체",옐로
960,삼성,지문센서,옐로
962,삼성,배터리,골드
964,삼성,"지문센서,액정",옐로
966,LG,마이크,블루
967,삼성,"조도센서,액정",옐로
968,삼성,배터리,골드
971,구글,배터리,골드
973,애플,"마이크,후면교체",블루
975,애플,조도센서,옐로
976,구글,후면교체,실버
977,삼성,후면교체,실버
978,삼성,액정,레드
979,애플,"카메라,액정",그린
982,구글,배터리,골드
983,구글,폰케이스구매,실버
985,삼성,카메라,그린
986,샤오미,"액정,조도센서",옐로
987,샤오미,지문센서,옐로
989,애플,폰케이스구매,실버
990,삼성,조도센서,옐로
991,애플,"지문센서,배터리",옐로
993,삼성,폰케이스구매,실버
994,삼성,"충전연결잭,액정",레드
996,삼성,"조도센서,배터리",옐로
998,LG,"스피커,버튼",블루
999,LG,배터리,골드
1001,삼성,배터리,골드
1002,삼성,마이크,블루
1003,샤오미,지문센서,옐로
1004,삼성,"마이크,지문센서",블루
1006,LG,액정,레드
1007,애플,"액정,지문센서",옐로
1009,삼성,"폰케이스구매,배터리",실버
1011,샤오미,충전연결잭,레드
1012,LG,"안테나,버튼",골드
1014,애플,"액정,배터리",골드
1016,삼성,액정,레드
1017,구글,폰케이스구매,실버
1018,LG,후면교체,실버
1019,구글,"마이크,지문센서",블루
1021,삼성,액정,레드
1022,삼성,지문센서,옐로
1023,삼성,폰케이스구매,실버
1025,애플,지문센서,옐로
1027,LG,지문센서,옐로
1028,LG,버튼,그린
1029,애플,"액정,후면교체",실버
1031,애플,지문센서,옐로
1032,LG,후면교체,실버
1033,샤오미,액정,레드
1034,LG,"폰케이스구매,버튼",실버
1036,애플,충전연결잭,레드
1037,삼성,"배터리,액정",골드
1039,삼성,스피커,블루
1040,애플,"충전연결잭,후면교체",레드
1042,삼성,폰케이스구매,실버
1043,삼성,"배터리,지문센서",옐로
1045,구글,마이크,블루
1046,LG,폰케이스구매,실버
1047,삼성,액정,레드
1048,샤오미,액정,레드
1049,LG,"폰케이스구매,버튼",실버
1050,LG,배터리,골드
1058,샤오미,안테나,골드
1059,삼성,액정,레드
1060,삼성,"버튼,배터리",그린
1062,LG,"카메라,지문센서",그린
1064,샤오미,배터리,골드
1065,애플,"액정,배터리",골드
1067,삼성,"배터리,액정",골드
1069,구글,"액정,마이크",블루
1071,LG,폰케이스구매,실버
1072,애플,"폰케이스구매,지문센서",실버
1074,샤오미,"후면교체,조도센서",옐로
1076,삼성,"안테나,배터리",골드
1078,애플,"지문센서,후면교체",옐로
1080,LG,"액정,버튼",그린
1081,LG,배터리,골드
1083,삼성,"충전연결잭,액정",레드
1085,삼성,조도센서,옐로
1086,삼성,"폰케이스구매,액정",실버
1088,애플,배터리,골드
1089,구글,마이크,블루
1090,삼성,"스피커,액정",블루
1092,삼성,"카메라,액정",그린
1093,삼성,배터리,골드
1095,애플,후면교체,실버
1096,애플,"배터리,후면교체",실버
1097,애플,배터리,골드
1099,샤오미,"충전연결잭,지문센서",레드
1101,삼성,"충전연결잭,지문센서",레드
1103,애플,안테나,골드
1104,LG,"배터리,버튼",그린
1106,애플,"액정,후면교체",실버
1108,LG,"액정,버튼",그린
1109,LG,지문센서,옐로
1111,삼성,"후면교체,액정",실버
1113,LG,"폰케이스구매,지문센서",실버
1115,LG,"후면교체,배터리",실버
1119,애플,배터리,골드
1120,삼성,"액정,지문센서",옐로
